firstname_asc,firstname,freq
Abadia,Abadia,3
Abel,Abel,17
Abelardo,Abelardo,7
Abilio,Abílio,22
Abraao,Abraão,33
Abrahao,Abrahão,14
Abrao,Abrão,11
Absalao,Absalão,3
Acacia,Acácia,7
Acacio,Acácio,31
Acassio,Acássio,3
Acelio,Acélio,3
Adail,Adail,6
Adailson,Adailson,4
Adailton,Adailton,13
Adailton,Adaílton,3
Adair,Adair,23
Adalberto,Adalberto,31
Adalto,Adalto,4
Adalton,Adalton,3
Adao,Adão,346
Adauto,Adauto,10
Adecio,Adécio,7
Adeildo,Adeildo,7
Adeilson,Adeilson,4
Adeilton,Adeilton,6
Adelar,Adelar,5
Adelcio,Adélcio,7
Adelia,Adélia,21
Adelicio,Adelício,3
Adelino,Adelino,13
Adelio,Adélio,16
Adelir,Adelir,4
Adelmar,Adelmar,3
Adelmo,Adelmo,10
Adelson,Adelson,21
Ademar,Ademar,44
Ademario,Ademário,11
Ademilson,Ademilson,7
Ademilton,Ademilton,4
Ademir,Ademir,73
Adenir,Adenir,6
Aderaldo,Aderaldo,3
Aderbal,Aderbal,3
Aderson,Aderson,9
Adevaldo,Adevaldo,7
Adiel,Adiel,3
Adilson,Adilson,68
Adilson,Adílson,3
Adinaldo,Adinaldo,3
Adir,Adir,4
Admar,Admar,3
Admilson,Admilson,7
Admir,Admir,5
Adolfo,Adolfo,12
Adoniran,Adoniran,3
Adriana,Adriana,30
Adriano,Adriano,65
Aecio,Aecio,3
Aecio,Aécio,28
Aercio,Aércio,4
Afonso,Afonso,24
Afranio,Afrânio,31
Agamenon,Agamenon,7
Agenor,Agenor,24
Agnaldo,Agnaldo,28
Agostinho,Agostinho,20
Agricio,Agrício,3
Agrinaldo,Agrinaldo,3
Aguimar,Aguimar,3
Aguinaldo,Aguinaldo,14
Ailson,Ailson,6
Ailton,Ailton,55
Ailton,Aílton,4
Aimore,Aimoré,4
Airton,Airton,32
Airton,Aírton,4
Alaide,Alaide,3
Alaide,Alaíde,13
Alaides,Alaídes,3
Alair,Alair,8
Alan,Alan,10
Alaor,Alaôr,4
Alba,Alba,7
Alberico,Albérico,4
Alberio,Albério,3
Albertina,Albertina,5
Alberto,Alberto,70
Albino,Albino,8
Alcebiades,Alcebíades,12
Alcedir,Alcedir,3
Alcemir,Alcemir,6
Alceu,Alceu,13
Alcides,Alcides,37
Alcidio,Alcídio,7
Alcindo,Alcindo,6
Alcino,Alcino,4
Alcione,Alcione,10
Alcir,Alcir,8
Aldair,Aldair,8
Aldemir,Aldemir,7
Aldenir,Aldenir,4
Aldenor,Aldenor,4
Alderico,Aldérico,5
Aldir,Aldir,3
Aldo,Aldo,23
Alecio,Alécio,15
Alencar,Alencar,5
Alessandra,Alessandra,5
Alessandro,Alessandro,14
Alessio,Aléssio,3
Alex,Alex,28
Alexandre,Alexandre,88
Alexandro,Alexandro,3
Alexis,Alexis,3
Alexsandro,Alexsandro,9
Alfeu,Alfeu,3
Alfredo,Alfredo,36
Alice,Alice,9
Alicio,Alicio,3
Alicio,Alício,10
Aline,Aline,7
Alipio,Alípio,16
Alirio,Alírio,20
Allan,Allan,5
Almerinda,Almerinda,4
Almerindo,Almerindo,3
Almerio,Almério,3
Almir,Almir,44
Almiro,Almiro,10
Aloisio,Aloisio,8
Aloisio,Aloísio,53
Aloizio,Aloízio,7
Aloncio,Alôncio,5
Alonso,Alonso,3
Altair,Altair,23
Altamir,Altamir,5
Altamiro,Altamiro,8
Altemar,Altemar,8
Altemir,Altemir,4
Aluisio,Aluisio,6
Aluisio,Aluísio,26
Aluizio,Aluizio,9
Aluizio,Aluízio,35
Alvaro,Alvaro,18
Alvaro,Álvaro,90
